"last_name, first_name",player_id,year,pa,bip,ba,est_ba,est_ba_minus_ba_diff,slg,est_slg,est_slg_minus_slg_diff,woba,est_woba,est_woba_minus_woba_diff
"Díaz, Yandy",650490,2026,6,5,0.6,0.276,0.3239999999999999,0.6,0.307,0.293,0.648,0.338,0.31
"Caminero, Junior",691406,2026,6,1,0.5,0.452,0.0479999999999999,0.5,0.585,-0.0849999999999999,0.681,0.656,0.025
"Aranda, Jonathan",666018,2026,6,4,0.5,0.284,0.216,1.25,0.61,0.64,0.77,0.446,0.324
"Ohtani, Shohei",660271,2026,5,3,0.333,0.427,-0.0939999999999999,0.333,0.851,-0.518,0.522,0.632,-0.1099999999999999
"Dingler, Dillon",693307,2026,5,4,0.4,0.371,0.029,1.0,0.962,0.038,0.772,0.556,0.2159999999999999
"Carpenter, Kerry",681481,2026,5,3,0.0,0.118,-0.118,0.0,0.173,-0.173,0.0,0.123,-0.123
"House, Brady",691781,2026,5,3,0.4,0.342,0.0579999999999999,1.0,0.96,0.04,0.772,0.541,0.2309999999999999
"Torres, Gleyber",650402,2026,5,4,0.25,0.161,0.089,0.25,0.21,0.04,0.361,0.283,0.078
"Duran, Jarren",680776,2026,5,4,0.4,0.347,0.053,0.4,0.372,0.028,0.417,0.318,0.0989999999999999
"McGonigle, Kevin",805808,2026,5,5,0.8,0.455,0.345,1.2,0.942,0.258,1.052,0.585,0.4670000000000001
"Herrera, Iván",671056,2026,5,5,0.0,0.194,-0.194,0.0,0.202,-0.202,0.0,0.175,-0.175
"Lindor, Francisco",596019,2026,5,2,0.0,0.057,-0.057,0.0,0.07,-0.07,0.456,0.479,-0.0229999999999999
"Story, Trevor",596115,2026,5,4,0.2,0.431,-0.2309999999999999,0.2,0.648,-0.448,0.208,0.462,-0.254
"Betts, Mookie",605141,2026,5,3,0.25,0.285,-0.0349999999999999,0.25,0.366,-0.1159999999999999,0.37,0.388,-0.018
"Turang, Brice",668930,2026,5,3,0.5,0.333,0.1669999999999999,0.75,0.449,0.301,0.678,0.422,0.256
"Lile, Daylen",695734,2026,5,3,0.2,0.304,-0.1039999999999999,0.2,0.454,-0.254,0.208,0.321,-0.113
"Keith, Colt",690993,2026,5,4,0.4,0.467,-0.067,0.4,0.546,-0.146,0.417,0.442,-0.025
"Soler, Jorge",624585,2026,5,3,0.2,0.15,0.05,0.2,0.249,-0.0489999999999999,0.208,0.173,0.035
"Adell, Jo",666176,2026,5,3,0.667,0.169,0.498,0.667,0.181,0.486,0.73,0.405,0.3249999999999999
"Burleson, Alec",676475,2026,5,4,0.75,0.567,0.183,1.5,1.319,0.181,1.225,0.792,0.433
"Torkelson, Spencer",679529,2026,5,2,0.25,0.175,0.075,0.25,0.237,0.013,0.361,0.296,0.065
"Freeman, Freddie",518692,2026,5,4,0.0,0.404,-0.404,0.0,0.834,-0.834,0.152,0.573,-0.4209999999999999
"Yelich, Christian",592885,2026,5,4,0.5,0.465,0.0349999999999999,0.5,0.599,-0.0989999999999999,0.569,0.523,0.0459999999999999
"Wetherholt, JJ",802139,2026,5,4,0.25,0.308,-0.0579999999999999,1.0,0.783,0.2169999999999999,0.563,0.569,-0.006
"Busch, Michael",683737,2026,5,4,0.75,0.191,0.5589999999999999,1.25,0.314,0.936,0.996,0.324,0.6719999999999999
"Naylor, Bo",666310,2026,5,4,0.0,0.156,-0.156,0.0,0.413,-0.413,0.0,0.238,-0.238
"Tucker, Kyle",663656,2026,5,4,0.25,0.433,-0.183,0.5,0.567,-0.0669999999999999,0.47,0.493,-0.023
"Neto, Zach",687263,2026,5,4,0.0,0.156,-0.156,0.0,0.202,-0.202,0.0,0.155,-0.155
"Judge, Aaron",592450,2026,5,1,0.0,0.035,-0.035,0.0,0.038,-0.038,0.0,0.032,-0.032
